Title,Column,Labels,Assignees,Initiative,Milestone
Develop intake process,In progress,Initiative: Strategy-mgmt-office,"JSantosPS, paul-tomka",,Strategy Management Office (SMO)
Make edits to interview/survey questions based on feedback from R&P,In progress,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Comms plan for the software assessment sharing pilot,In progress,Initiative: Software Assessment,LeighGardner,,Sharing Software Assessment Pilot - 1. Planning
Create deliverable/artefact templates,In progress,Initiative: Strategy-mgmt-office,"JSantosPS, paul-tomka",,Strategy Management Office (SMO)
Collect feedback and survey expertise suggestions from Research & Prototyping on interview questions,Reviewing / Pending,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Get approval to proceed with Women and Leadership Study & Interview questions,Reviewing / Pending,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Develop UX proposal,Reviewing / Pending,,ElminaIusifova,,"UX Assessment and Framework  "
Business Case - Open First Center of Enablement,Reviewing / Pending,"Strategies, In Consultation",gcharest,,Open First Center of Enablement
Proposal Deck,Reviewing / Pending,,"RachelMuston, philipe-girard",,Organizational Performance Measurement
Z [Pending] Develop IT Delagation Concept Briefing,Reviewing / Pending,Initiative: IT Delegation,"ElminaIusifova, philipe-girard, LeighGardner, JSantosPS",,Concept Briefing - IT Delegation of Authority/MOU
Removing Rachel from about us - to merge on May 16,Reviewing / Pending,Website,RachelMuston,,
BPMO CoE - PMM Selection Tool,Done Enough,,remyb2canada,,
Present at SLF,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
MW to read,Done Enough,Idea,remyb2canada,,Our Team Continuous Improvement and Administration
Update EPMO product mgt plan,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
Update IT Strategy onboarding document,Done Enough,documentation,,,Our Team Continuous Improvement and Administration
SSC GC Enterprise Services potential partnership,Done Enough,"Strategies, Outreach",remyb2canada,,Ongoing Advice and Unplanned Work
